policy_number,age,policy_bind_date,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,has_umbrella_coverage,total_premiums_paid,Contract Years,insured_sex,insured_education_level,insured_occupation,insured_hobbies,hobby_risk_level,insured_relationship,months_as_customer,customer_category,capital-gains,capital-loss,insured_zip,age_category,incident_date,days_until_incident,incident_type,collision_type,incident_severity,incident_state,incident_city,incident_location,incident_hour_of_the_day,incident_time_of_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,authorities_contacted,total_claim_amount,injury_claim,property_claim,vehicle_claim,per_person_limit,per_event_limit,auto_make,auto_model,auto_year,fraud_reported_mapped,fraud_reported
618659,27.0,2005-10-18,Ohio,100/300,500.0,965.13,0,False,9007.88,9,FEMALE,Masters,tech-support,exercise,Medium Risk,unmarried,112,Established Client,60000.0,-54800,450341,Young Adult,2015-02-22,3414,Multi-vehicle Collision,Front Collision,Major Damage,NC,Arlington,2808 Elm St,21,Evening,3,Unknown,0,1,Unknown,Ambulance,51000.0,8500.0,8500.0,34000,100,300,Nissan,Pathfinder,2013,0,N
649082,33.0,1996-01-19,Illinois,500/1000,1000.0,1922.84,0,False,3845.68,2,FEMALE,High School,machine-op-inspct,skydiving,High Risk,wife,24,New Client,0.0,-45200,431277,Middle Aged,2015-01-24,6945,Single Vehicle Collision,Side Collision,Total Loss,WV,Northbend,5061 Francis Ave,0,Late Night,1,Unknown,2,1,NO,Police,46800.0,4680.0,9360.0,32760,500,1000,Jeep,Wrangler,2002,0,N
437573,32.0,2005-09-29,Ohio,250/500,2000.0,1624.82,0,False,12592.36,8,MALE,PhD,exec-managerial,basketball,Medium Risk,unmarried,93,Established Client,65300.0,-65600,454656,Middle Aged,2015-02-09,3420,Single Vehicle Collision,Side Collision,Minor Damage,WV,Northbend,4965 MLK Drive,16,Afternoon,1,Unknown,1,1,Unknown,Ambulance,78120.0,17360.0,8680.0,52080,250,500,BMW,3 Series,2006,0,N
964657,34.0,1997-02-18,Indiana,250/500,2000.0,1277.25,0,False,18200.81,14,FEMALE,College,exec-managerial,yachting,Low Risk,other-relative,171,Long-Term Client,84900.0,0,605169,Middle Aged,2015-01-19,6544,Single Vehicle Collision,Rear Collision,Major Damage,NY,Springfield,8668 Flute St,14,Afternoon,1,NO,1,2,Unknown,Police,69200.0,13840.0,6920.0,48440,250,500,Volkswagen,Passat,1996,1,Y
932502,40.0,2010-05-11,Illinois,100/300,1000.0,1439.34,0,False,23989.0,17,FEMALE,High School,sales,exercise,Medium Risk,other-relative,200,Long-Term Client,45300.0,-20400,444822,Middle Aged,2015-01-01,1696,Vehicle Theft,Unknown,Minor Damage,VA,Riverwood,2577 Washington Drive,9,Morning,1,Unknown,0,0,NO,Police,3690.0,410.0,410.0,2870,100,300,Ford,Escape,2015,0,N
434507,28.0,2009-02-06,Illinois,250/500,1000.0,1281.27,0,False,12812.7,10,FEMALE,PhD,tech-support,golf,Low Risk,not-in-family,120,Established Client,68900.0,0,447442,Young Adult,2015-01-07,2161,Multi-vehicle Collision,Rear Collision,Minor Damage,SC,Springfield,7709 Rock Lane,9,Morning,3,NO,0,3,Unknown,Fire,65500.0,6550.0,6550.0,52400,250,500,BMW,X5,2010,0,N
935277,46.0,2013-07-09,Illinois,500/1000,500.0,1348.83,0,False,36530.81,27,FEMALE,High School,prof-specialty,basketball,Medium Risk,wife,325,Long-Term Client,46300.0,-77500,474360,Middle Aged,2015-02-01,572,Multi-vehicle Collision,Rear Collision,Minor Damage,NC,Springfield,9358 Texas Ridge,21,Evening,3,Unknown,1,2,YES,Fire,76120.0,13840.0,6920.0,55360,500,1000,Toyota,Camry,1999,0,N
756054,32.0,1992-06-06,Illinois,250/500,1000.0,1198.15,0,False,12380.88,10,FEMALE,MD,other-service,hiking,Low Risk,not-in-family,124,Established Client,0.0,-43200,447925,Middle Aged,2015-02-21,8295,Multi-vehicle Collision,Front Collision,Total Loss,VA,Springfield,8080 Oak Lane,19,Evening,3,NO,0,2,YES,Other,73560.0,12260.0,12260.0,49040,250,500,BMW,X5,1995,0,N
682387,35.0,1998-03-08,Ohio,100/300,2000.0,1221.22,0,False,21473.12,18,MALE,Masters,machine-op-inspct,camping,Low Risk,other-relative,211,Long-Term Client,76000.0,0,451586,Middle Aged,2015-01-21,6163,Single Vehicle Collision,Rear Collision,Total Loss,NY,Northbend,6408 Weaver Ridge,2,Late Night,1,YES,0,1,Unknown,Police,52030.0,9460.0,4730.0,37840,100,300,Mercedes,E400,2008,0,N
456604,41.0,2004-03-29,Illinois,500/1000,2000.0,968.74,0,False,23169.03,24,MALE,Masters,transport-moving,video-games,Low Risk,wife,287,Long-Term Client,0.0,-49000,477519,Middle Aged,2015-01-19,3948,Vehicle Theft,Unknown,Trivial Damage,SC,Northbrook,5532 Weaver Ridge,9,Morning,1,Unknown,2,3,Unknown,None,5170.0,470.0,940.0,3760,500,1000,Suburu,Forrestor,2001,0,N
139872,34.0,2006-06-01,Indiana,250/500,1000.0,1220.71,0,False,12410.55,10,MALE,PhD,machine-op-inspct,video-games,Low Risk,own-child,122,Established Client,58600.0,-28700,603639,Middle Aged,2015-02-27,3193,Parked Car,Unknown,Minor Damage,SC,Northbend,9101 2nd Hwy,5,Late Night,1,Unknown,2,1,YES,None,8190.0,1890.0,1260.0,5040,250,500,Chevrolet,Silverado,2013,0,N
354105,29.0,1994-06-08,Indiana,250/500,2000.0,1238.62,6000000,True,2270.8,2,MALE,MD,exec-managerial,yachting,Low Risk,other-relative,22,New Client,0.0,-56200,463993,Young Adult,2015-02-14,7556,Single Vehicle Collision,Rear Collision,Major Damage,SC,Springfield,8576 Andromedia St,14,Afternoon,1,Unknown,2,3,Unknown,Ambulance,70800.0,7080.0,14160.0,49560,250,500,Accura,MDX,2012,1,Y
165485,31.0,1998-02-12,Illinois,500/1000,2000.0,1320.75,0,False,11666.62,9,FEMALE,JD,farming-fishing,video-games,Low Risk,wife,106,Established Client,54100.0,0,441491,Middle Aged,2015-02-01,6198,Multi-vehicle Collision,Rear Collision,Total Loss,WV,Springfield,6315 2nd Lane,20,Evening,3,Unknown,0,3,YES,Police,45630.0,5070.0,5070.0,35490,500,1000,Accura,MDX,2011,0,N
515050,58.0,2000-11-16,Ohio,100/300,500.0,990.98,0,False,32867.5,33,FEMALE,Associate,exec-managerial,cross-fit,Medium Risk,wife,398,Long-Term Client,0.0,-57900,469429,Elderly,2015-02-02,5191,Single Vehicle Collision,Front Collision,Major Damage,NC,Northbrook,1536 Flute Drive,18,Evening,1,YES,2,1,Unknown,Police,99320.0,7640.0,15280.0,76400,100,300,Accura,TL,2002,1,Y
795686,41.0,2004-10-24,Illinois,500/1000,500.0,1398.51,4000000,True,24940.1,18,MALE,Masters,tech-support,polo,Medium Risk,not-in-family,214,Long-Term Client,0.0,-57100,472214,Middle Aged,2015-02-01,3752,Multi-vehicle Collision,Side Collision,Major Damage,NC,Northbend,4672 MLK St,13,Afternoon,3,Unknown,2,0,NO,Fire,64000.0,12800.0,6400.0,44800,500,1000,BMW,X6,1996,1,Y
395983,38.0,2009-11-08,Ohio,100/300,500.0,1355.08,0,False,23600.98,17,FEMALE,MD,other-service,golf,Low Risk,other-relative,209,Long-Term Client,58100.0,0,614945,Middle Aged,2015-01-19,1898,Single Vehicle Collision,Front Collision,Minor Damage,WV,Northbrook,2204 Washington Lane,21,Evening,1,Unknown,1,1,Unknown,Fire,47300.0,4730.0,4730.0,37840,100,300,Nissan,Pathfinder,2014,0,N
119513,27.0,1996-09-21,Illinois,100/300,1000.0,1384.51,0,False,9460.82,7,MALE,PhD,adm-clerical,reading,Low Risk,not-in-family,82,Established Client,13100.0,-38200,476727,Young Adult,2015-02-18,6724,Single Vehicle Collision,Rear Collision,Major Damage,SC,Springfield,9484 Pine Drive,14,Afternoon,1,NO,2,3,Unknown,Other,71680.0,8960.0,8960.0,53760,100,300,Volkswagen,Jetta,2007,1,Y
217938,41.0,1995-07-16,Ohio,250/500,500.0,847.03,0,False,13623.07,16,FEMALE,JD,craft-repair,skydiving,High Risk,not-in-family,193,Long-Term Client,0.0,0,438555,Middle Aged,2015-02-08,7147,Single Vehicle Collision,Side Collision,Major Damage,SC,Springfield,5431 3rd Ridge,1,Late Night,1,Unknown,1,0,YES,Other,112320.0,17280.0,17280.0,77760,250,500,Suburu,Impreza,2011,1,Y
203914,32.0,2001-06-09,Ohio,100/300,1000.0,1000.06,0,False,11167.34,11,FEMALE,PhD,farming-fishing,base-jumping,High Risk,wife,134,Established Client,0.0,0,440961,Middle Aged,2015-01-09,4962,Single Vehicle Collision,Side Collision,Total Loss,NY,Columbus,7121 Britain Drive,17,Afternoon,1,Unknown,1,0,Unknown,Other,82720.0,7520.0,15040.0,60160,100,300,Audi,A3,2014,0,N
565157,45.0,2002-10-06,Illinois,100/300,1000.0,1046.71,0,False,25121.04,24,MALE,Masters,priv-house-serv,polo,Medium Risk,husband,288,Long-Term Client,0.0,0,616714,Middle Aged,2015-02-27,4527,Multi-vehicle Collision,Rear Collision,Major Damage,NC,Hillsdale,8586 1st Ridge,4,Late Night,3,Unknown,2,1,Unknown,Fire,48060.0,10680.0,5340.0,32040,100,300,Mercedes,C300,2009,0,N
904191,32.0,1997-07-14,Indiana,250/500,500.0,1158.03,0,False,10036.26,9,MALE,High School,exec-managerial,kayaking,Medium Risk,own-child,104,Established Client,31900.0,-44600,434247,Middle Aged,2015-01-08,6387,Multi-vehicle Collision,Rear Collision,Total Loss,NY,Riverwood,7582 Pine Drive,23,Evening,3,YES,1,3,YES,Police,63570.0,9780.0,9780.0,44010,250,500,Volkswagen,Jetta,2006,1,Y
419510,54.0,1994-11-11,Ohio,100/300,1000.0,1372.27,0,False,49287.36,36,FEMALE,Masters,craft-repair,paintball,High Risk,own-child,431,Long-Term Client,17600.0,0,436547,Middle Aged,2015-01-08,7363,Multi-vehicle Collision,Rear Collision,Total Loss,WV,Columbus,1388 Embaracadero Hwy,13,Afternoon,3,NO,2,3,Unknown,Fire,63240.0,10540.0,10540.0,42160,100,300,Suburu,Forrestor,1997,0,N
575000,33.0,2012-06-23,Ohio,100/300,1000.0,1053.04,7000000,True,8863.09,8,FEMALE,Masters,other-service,reading,Low Risk,own-child,101,Established Client,52000.0,-44500,619540,Middle Aged,2015-02-24,976,Multi-vehicle Collision,Rear Collision,Minor Damage,NC,Northbrook,5621 4th Ave,20,Evening,3,NO,1,3,Unknown,Ambulance,54240.0,9040.0,9040.0,36160,100,300,Saab,93,2013,1,Y
120485,50.0,2007-02-18,Ohio,100/300,1000.0,1275.39,0,False,39855.94,31,MALE,Associate,sales,bungie-jumping,High Risk,other-relative,375,Long-Term Client,0.0,0,466283,Middle Aged,2015-02-12,2916,Single Vehicle Collision,Front Collision,Major Damage,NY,Riverwood,8150 Washington Ridge,16,Afternoon,1,YES,2,3,NO,Police,37280.0,0.0,0.0,37280,100,300,Audi,A5,1996,1,Y
781181,61.0,2005-06-27,Ohio,100/300,2000.0,1402.75,0,False,53888.98,38,MALE,JD,exec-managerial,exercise,Medium Risk,husband,461,Long-Term Client,0.0,0,449557,Elderly,2015-02-18,3523,Multi-vehicle Collision,Rear Collision,Minor Damage,NY,Columbus,4268 2nd Ave,10,Morning,3,Unknown,2,1,YES,Police,72100.0,7210.0,14420.0,50470,100,300,Jeep,Wrangler,2006,0,N
299796,59.0,1999-09-29,Indiana,250/500,500.0,1344.36,7000000,True,47948.84,36,FEMALE,JD,prof-specialty,hiking,Low Risk,other-relative,428,Long-Term Client,0.0,0,473329,Elderly,2015-02-06,5609,Parked Car,Unknown,Minor Damage,WV,Northbend,6375 2nd Lane,8,Morning,1,Unknown,2,3,NO,None,6500.0,1300.0,650.0,4550,250,500,Saab,92x,2013,0,N
589749,38.0,2006-05-14,Indiana,100/300,1000.0,1197.71,0,False,4491.41,4,MALE,Masters,machine-op-inspct,movies,Low Risk,not-in-family,45,Established Client,29000.0,0,470117,Middle Aged,2015-02-14,3198,Multi-vehicle Collision,Front Collision,Total Loss,WV,Springfield,3770 Flute Drive,17,Afternoon,3,Unknown,2,0,Unknown,Ambulance,78240.0,13040.0,13040.0,52160,100,300,Suburu,Legacy,2013,0,N
854021,29.0,2010-04-29,Ohio,100/300,500.0,1203.24,0,False,13636.72,11,FEMALE,JD,transport-moving,video-games,Low Risk,other-relative,136,Established Client,62500.0,-66900,600702,Young Adult,2015-02-05,1743,Vehicle Theft,Unknown,Minor Damage,NY,Columbus,1562 Britain St,9,Morning,1,Unknown,2,0,Unknown,Police,6200.0,1240.0,620.0,4340,100,300,Honda,Accord,1999,0,N
454086,36.0,1992-11-10,Indiana,500/1000,1000.0,1152.4,0,False,20743.2,18,FEMALE,Associate,priv-house-serv,reading,Low Risk,unmarried,216,Long-Term Client,39600.0,-82400,615921,Middle Aged,2015-01-25,8111,Parked Car,Unknown,Minor Damage,VA,Springfield,1681 Cherokee Hwy,0,Late Night,1,YES,2,3,Unknown,Police,6160.0,560.0,1680.0,3920,500,1000,Mercedes,E400,2014,0,N
139484,48.0,1999-07-24,Indiana,500/1000,2000.0,1142.62,7000000,True,26470.7,23,FEMALE,MD,farming-fishing,dancing,Medium Risk,not-in-family,278,Long-Term Client,0.0,-54000,475588,Middle Aged,2015-01-16,5655,Single Vehicle Collision,Front Collision,Total Loss,SC,Northbrook,7523 Oak Lane,12,Afternoon,1,Unknown,2,0,Unknown,Ambulance,76050.0,11700.0,11700.0,52650,500,1000,Chevrolet,Silverado,1997,0,N
678849,48.0,1992-02-22,Ohio,500/1000,1000.0,1332.07,0,False,32746.72,25,FEMALE,MD,exec-managerial,polo,Medium Risk,unmarried,295,Long-Term Client,49700.0,-59100,609409,Middle Aged,2015-01-28,8376,Multi-vehicle Collision,Side Collision,Total Loss,NY,Hillsdale,1815 Cherokee Drive,20,Evening,2,NO,2,1,YES,Ambulance,86060.0,13240.0,13240.0,59580,500,1000,Volkswagen,Passat,2002,0,N
346940,30.0,2002-09-13,Ohio,500/1000,1000.0,1166.54,0,False,10887.71,9,FEMALE,Masters,prof-specialty,sleeping,Low Risk,not-in-family,112,Established Client,47700.0,-59300,479852,Young Adult,2015-01-21,4513,Single Vehicle Collision,Front Collision,Major Damage,SC,Arlington,9316 Pine Ave,3,Late Night,1,YES,2,0,NO,Fire,107900.0,10790.0,21580.0,75530,500,1000,Dodge,Neon,1997,1,Y
985436,34.0,2003-08-09,Illinois,250/500,500.0,1495.06,0,False,15199.78,10,FEMALE,Masters,prof-specialty,polo,Medium Risk,unmarried,122,Established Client,38100.0,-31400,452249,Middle Aged,2015-01-07,4169,Multi-vehicle Collision,Rear Collision,Total Loss,PA,Columbus,2733 Texas Drive,18,Evening,3,NO,2,0,YES,Fire,99990.0,18180.0,18180.0,63630,250,500,Mercedes,E400,2011,0,N
237418,29.0,2007-12-04,Indiana,500/1000,1000.0,1337.92,0,False,12041.28,9,FEMALE,PhD,armed-forces,bungie-jumping,High Risk,not-in-family,108,Established Client,71400.0,0,441536,Young Adult,2015-02-23,2638,Multi-vehicle Collision,Side Collision,Minor Damage,WV,Columbus,7684 Francis Ridge,4,Late Night,3,NO,2,2,YES,Ambulance,61380.0,11160.0,5580.0,44640,500,1000,Suburu,Legacy,2012,0,N
335780,28.0,2002-07-22,Ohio,250/500,2000.0,1587.96,0,False,1852.62,1,FEMALE,Associate,craft-repair,board-games,Low Risk,unmarried,14,New Client,0.0,-26900,601617,Young Adult,2015-02-14,4590,Single Vehicle Collision,Rear Collision,Major Damage,WV,Riverwood,8991 Embaracadero Ave,18,Evening,1,Unknown,2,1,YES,Fire,71280.0,12960.0,12960.0,45360,250,500,Audi,A5,2012,1,Y
491392,45.0,1992-07-03,Illinois,500/1000,1000.0,1362.29,0,False,33830.2,25,MALE,High School,farming-fishing,yachting,Low Risk,unmarried,298,Long-Term Client,0.0,-51100,442598,Middle Aged,2015-02-27,8274,Multi-vehicle Collision,Front Collision,Minor Damage,NY,Northbend,4905 Francis Ave,18,Evening,3,NO,0,0,NO,Ambulance,64000.0,12800.0,6400.0,44800,500,1000,Saab,95,1999,0,N
140880,46.0,2005-03-29,Illinois,250/500,500.0,1448.84,0,False,33323.32,23,FEMALE,Masters,machine-op-inspct,bungie-jumping,High Risk,husband,276,Long-Term Client,0.0,-50000,430987,Middle Aged,2015-02-21,3616,Parked Car,Unknown,Trivial Damage,SC,Hillsdale,7783 Lincoln Hwy,7,Morning,1,Unknown,0,1,NO,Police,5940.0,660.0,660.0,4620,250,500,Toyota,Highlander,2015,0,N
962591,37.0,2008-03-16,Indiana,250/500,2000.0,1241.97,0,False,4864.38,4,MALE,High School,other-service,movies,Low Risk,not-in-family,47,Established Client,75400.0,0,430104,Middle Aged,2015-01-05,2486,Parked Car,Unknown,Minor Damage,NY,Hillsdale,8749 Tree St,18,Evening,1,NO,1,0,NO,None,6700.0,670.0,670.0,5360,250,500,Jeep,Wrangler,2011,0,N
922565,42.0,1999-05-23,Illinois,250/500,500.0,1124.6,0,False,20805.1,18,MALE,Associate,armed-forces,hiking,Low Risk,not-in-family,222,Long-Term Client,0.0,0,612904,Middle Aged,2015-01-30,5731,Multi-vehicle Collision,Rear Collision,Minor Damage,NY,Arlington,4985 Sky Lane,23,Evening,3,YES,0,0,Unknown,Police,51740.0,11940.0,7960.0,31840,250,500,Jeep,Wrangler,2006,0,N
288580,28.0,2012-11-22,Ohio,250/500,2000.0,1079.92,0,False,10709.21,10,MALE,High School,machine-op-inspct,hiking,Low Risk,husband,119,Established Client,88800.0,0,430886,Young Adult,2015-02-26,826,Single Vehicle Collision,Rear Collision,Total Loss,PA,Riverwood,7534 MLK Hwy,1,Late Night,1,Unknown,0,1,YES,Ambulance,53600.0,6700.0,6700.0,40200,250,500,Volkswagen,Jetta,2007,1,Y
154280,29.0,1993-01-29,Illinois,250/500,1000.0,1447.78,0,False,8807.33,6,MALE,College,protective-serv,board-games,Low Risk,wife,73,Established Client,35100.0,-59900,467947,Young Adult,2015-01-10,8016,Multi-vehicle Collision,Rear Collision,Total Loss,SC,Arlington,8689 Maple Hwy,15,Afternoon,3,YES,1,0,Unknown,Other,44910.0,4990.0,4990.0,34930,250,500,Dodge,Neon,2001,0,N
425973,31.0,2003-02-11,Indiana,250/500,500.0,1229.16,4000000,True,819.44,1,FEMALE,MD,transport-moving,kayaking,Medium Risk,wife,8,New Client,0.0,-88300,604804,Middle Aged,2015-02-23,4395,Multi-vehicle Collision,Front Collision,Major Damage,PA,Hillsdale,9153 3rd Hwy,2,Late Night,3,Unknown,0,2,YES,Fire,48100.0,11100.0,7400.0,29600,250,500,Volkswagen,Jetta,2014,0,N
477177,44.0,1990-08-15,Illinois,100/300,1000.0,1226.49,0,False,30049.0,24,FEMALE,PhD,farming-fishing,kayaking,Medium Risk,unmarried,294,Long-Term Client,53900.0,0,460308,Middle Aged,2015-02-05,8940,Vehicle Theft,Unknown,Trivial Damage,WV,Riverwood,5904 1st Drive,3,Late Night,1,NO,0,1,NO,None,6100.0,610.0,1220.0,4270,100,300,Ford,Fusion,2002,0,N
648509,46.0,2010-03-06,Indiana,100/300,2000.0,897.89,6000000,True,24243.03,27,MALE,MD,tech-support,board-games,Low Risk,wife,324,Long-Term Client,0.0,-41300,618862,Middle Aged,2015-01-21,1782,Single Vehicle Collision,Rear Collision,Minor Damage,PA,Hillsdale,4519 Embaracadero St,13,Afternoon,1,Unknown,1,0,YES,Other,79600.0,15920.0,15920.0,47760,100,300,Jeep,Wrangler,2011,0,N
914815,34.0,1990-09-27,Indiana,100/300,500.0,1706.79,0,False,22046.04,13,MALE,Masters,protective-serv,dancing,Medium Risk,other-relative,155,Long-Term Client,0.0,0,462479,Middle Aged,2015-01-07,8868,Single Vehicle Collision,Front Collision,Minor Damage,OH,Hillsdale,9706 MLK Lane,1,Late Night,1,NO,1,1,YES,Ambulance,77040.0,8560.0,8560.0,59920,100,300,Honda,Civic,1998,0,N
249048,45.0,2005-06-17,Illinois,250/500,1000.0,1254.18,0,False,27278.42,22,FEMALE,PhD,prof-specialty,kayaking,Medium Risk,other-relative,261,Long-Term Client,0.0,-45100,457555,Middle Aged,2015-01-11,3495,Single Vehicle Collision,Rear Collision,Minor Damage,SC,Columbus,6012 Texas Hwy,16,Afternoon,1,YES,0,1,Unknown,Fire,62590.0,11380.0,11380.0,39830,250,500,Volkswagen,Jetta,2003,0,N
144323,40.0,2001-09-14,Indiana,500/1000,500.0,885.08,0,False,18070.38,20,FEMALE,Masters,armed-forces,skydiving,High Risk,other-relative,245,Long-Term Client,27000.0,-58900,459984,Middle Aged,2015-02-06,4893,Single Vehicle Collision,Front Collision,Total Loss,WV,Northbend,4098 Weaver Ridge,0,Late Night,1,YES,0,1,NO,Other,85150.0,13100.0,13100.0,58950,500,1000,Chevrolet,Malibu,1998,0,N
651861,39.0,2011-01-07,Illinois,100/300,500.0,1046.58,4000000,True,20495.52,20,MALE,MD,tech-support,exercise,Medium Risk,wife,235,Long-Term Client,0.0,-31700,434982,Middle Aged,2015-01-24,1478,Vehicle Theft,Unknown,Trivial Damage,NY,Hillsdale,6193 1st Hwy,1,Late Night,1,Unknown,2,1,NO,None,4950.0,450.0,900.0,3600,100,300,Chevrolet,Silverado,2010,0,N
125324,36.0,2003-09-13,Ohio,500/1000,2000.0,1712.68,0,False,7564.34,4,MALE,Associate,handlers-cleaners,basketball,Medium Risk,not-in-family,53,Established Client,72200.0,0,614233,Middle Aged,2015-02-18,4176,Multi-vehicle Collision,Side Collision,Major Damage,VA,Riverwood,4053 Sky Lane,17,Afternoon,3,Unknown,2,0,YES,Fire,51100.0,10220.0,5110.0,35770,500,1000,Audi,A3,2006,0,N
398102,54.0,1997-10-24,Illinois,500/1000,2000.0,1097.71,0,False,38968.7,36,FEMALE,Masters,adm-clerical,reading,Low Risk,not-in-family,426,Long-Term Client,29600.0,-22300,605258,Middle Aged,2015-01-12,6289,Single Vehicle Collision,Side Collision,Minor Damage,SC,Springfield,8964 Francis St,13,Afternoon,1,YES,2,3,Unknown,Police,100800.0,16800.0,16800.0,67200,500,1000,Dodge,Neon,1997,0,N
514065,27.0,2009-01-04,Indiana,250/500,500.0,1363.77,4000000,True,12614.87,9,FEMALE,Masters,tech-support,exercise,Medium Risk,husband,111,Established Client,51100.0,0,604377,Young Adult,2015-01-17,2204,Single Vehicle Collision,Side Collision,Total Loss,VA,Springfield,9748 Sky Drive,12,Afternoon,1,YES,2,3,NO,Police,90970.0,16540.0,16540.0,57890,250,500,Accura,RSX,2009,0,N
391652,26.0,1998-10-12,Ohio,100/300,500.0,1382.88,7000000,True,9910.64,7,MALE,JD,tech-support,cross-fit,Medium Risk,other-relative,86,Established Client,0.0,-30300,434923,Young Adult,2015-01-12,5936,Single Vehicle Collision,Rear Collision,Minor Damage,SC,Northbend,2293 Washington Ave,11,Morning,1,Unknown,1,1,YES,Police,81840.0,14880.0,7440.0,59520,100,300,Chevrolet,Malibu,2011,1,Y
922167,46.0,1993-02-23,Ohio,100/300,1000.0,1141.35,7000000,True,28153.3,25,MALE,Masters,craft-repair,sleeping,Low Risk,not-in-family,296,Long-Term Client,0.0,0,476456,Middle Aged,2015-01-06,7987,Single Vehicle Collision,Front Collision,Major Damage,NY,Northbend,3656 Solo Ave,18,Evening,1,Unknown,0,2,NO,Ambulance,54900.0,5490.0,5490.0,43920,100,300,Mercedes,C300,2013,0,N
442795,35.0,1996-07-07,Ohio,500/1000,500.0,1054.83,7000000,True,10987.81,10,MALE,JD,tech-support,cross-fit,Medium Risk,husband,125,Established Client,0.0,-51300,446788,Middle Aged,2015-02-25,6807,Single Vehicle Collision,Front Collision,Total Loss,NY,Northbend,8579 Apache Drive,17,Afternoon,1,YES,2,3,NO,Fire,88660.0,8060.0,16120.0,64480,500,1000,Mercedes,C300,2007,1,Y
226330,34.0,2013-01-23,Illinois,100/300,2000.0,1057.77,0,False,15602.11,15,FEMALE,JD,tech-support,bungie-jumping,High Risk,unmarried,177,Long-Term Client,0.0,-57700,477382,Middle Aged,2015-02-16,754,Multi-vehicle Collision,Front Collision,Total Loss,NC,Riverwood,2003 Maple Hwy,22,Evening,3,Unknown,1,1,NO,Ambulance,18000.0,2250.0,2250.0,13500,100,300,Audi,A3,2009,0,N
134430,39.0,2006-12-06,Indiana,250/500,2000.0,1488.02,0,False,29512.4,20,FEMALE,JD,protective-serv,exercise,Medium Risk,other-relative,238,Long-Term Client,0.0,-39200,600275,Middle Aged,2015-02-25,3003,Vehicle Theft,Unknown,Minor Damage,NY,Northbrook,5445 Tree Hwy,9,Morning,1,YES,1,3,YES,Police,5500.0,1100.0,550.0,3850,250,500,Chevrolet,Tahoe,2010,0,N
524230,25.0,2014-02-23,Indiana,100/300,500.0,920.3,5000000,True,6212.02,7,FEMALE,High School,tech-support,hiking,Low Risk,own-child,81,Established Client,51000.0,-67900,461958,Young Adult,2015-02-21,363,Multi-vehicle Collision,Rear Collision,Major Damage,WV,Hillsdale,9730 2nd Hwy,11,Morning,3,Unknown,1,0,Unknown,Other,73920.0,13440.0,6720.0,53760,100,300,Honda,Civic,2003,1,Y
438817,28.0,2007-11-16,Ohio,500/1000,1000.0,986.53,0,False,10522.99,11,FEMALE,High School,adm-clerical,polo,Medium Risk,other-relative,128,Established Client,62700.0,0,472720,Young Adult,2015-02-16,2649,Single Vehicle Collision,Rear Collision,Total Loss,VA,Columbus,7819 Oak St,11,Morning,1,NO,0,2,YES,Ambulance,101860.0,18520.0,18520.0,64820,500,1000,Honda,CRV,2007,0,N
293794,57.0,1999-04-17,Ohio,250/500,2000.0,1440.68,0,False,53905.44,37,MALE,Associate,tech-support,movies,Low Risk,own-child,449,Long-Term Client,25000.0,0,442395,Elderly,2015-02-09,5777,Parked Car,Unknown,Minor Damage,SC,Riverwood,1845 Best St,8,Morning,1,YES,0,1,YES,None,5390.0,980.0,980.0,3430,250,500,Volkswagen,Passat,2008,0,N
868283,39.0,2006-02-06,Indiana,250/500,1000.0,1086.21,0,False,22810.41,21,MALE,JD,farming-fishing,hiking,Low Risk,unmarried,252,Long-Term Client,68500.0,-57500,455340,Middle Aged,2015-02-13,3294,Single Vehicle Collision,Side Collision,Minor Damage,SC,Springfield,2500 Tree St,18,Evening,1,Unknown,1,2,Unknown,Police,50490.0,5610.0,5610.0,39270,250,500,Nissan,Maxima,2001,0,N
828890,47.0,1993-10-20,Ohio,100/300,2000.0,1367.68,0,False,40916.43,30,FEMALE,MD,handlers-cleaners,basketball,Medium Risk,unmarried,359,Long-Term Client,0.0,0,613247,Middle Aged,2015-01-11,7753,Single Vehicle Collision,Front Collision,Total Loss,SC,Arlington,6955 Pine Drive,13,Afternoon,1,NO,0,3,NO,Police,55500.0,5550.0,11100.0,38850,100,300,Mercedes,C300,2012,0,N
882920,32.0,2006-01-01,Ohio,500/1000,1000.0,1215.85,0,False,1925.1,2,MALE,High School,other-service,hiking,Low Risk,husband,19,New Client,42900.0,-90200,454985,Middle Aged,2015-01-02,3288,Vehicle Theft,Unknown,Minor Damage,VA,Hillsdale,6165 Rock Ridge,8,Morning,1,YES,1,1,YES,Police,7040.0,1280.0,640.0,5120,500,1000,Nissan,Maxima,2015,0,N
918777,26.0,2003-04-04,Illinois,250/500,2000.0,1191.19,4000000,True,7246.41,6,MALE,MD,farming-fishing,basketball,Medium Risk,not-in-family,73,Established Client,29300.0,0,468813,Young Adult,2015-02-12,4332,Multi-vehicle Collision,Rear Collision,Total Loss,VA,Northbrook,3653 Elm Drive,9,Morning,3,Unknown,0,1,YES,Other,40160.0,5020.0,0.0,35140,250,500,Chevrolet,Tahoe,2003,0,N
